唛头,快递单号,品名,件数,实际计算重量,实际收款泰铢,发货日期,快递状态
666-jian,315091745074660,食品,1,1.4,140,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-laca,465579696174338,按摩仪,1,1.679166667,167.9166667,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-laca,79130091300138,衣物,1,0.5,50,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-laca,YT0701388834616,衣物,1,0.7,70,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-laca,465578201324467,鞋子,1,0.6,60,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-maike,YT0063155809888,衣物,1,0.4,40,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-maike,76965791550716,衣物,1,0.2,20,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-maike,76965798928767,衣物,1,0.2,20,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-maike,76965939921662,衣物,1,0.3,30,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-xran,79024748139746,衣物,1,0.4,40,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-xran,79024735250000,衣物,1,0.4,40,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-xran,YT7637855559337,衣物,1,0.6,60,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-xran,79024854740356,衣物,1,1.3,130,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-小良,465579598239676,日用品,1,0.2,20,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
